page,product_name,price,link
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,T-shirt with ruffled sleeves,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/302/251/5003302251_1_1_3.jpg?t=1687934413458
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversize short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/300/619/5003300619_1_1_3.jpg?t=1687934786403
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Racerback T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/1121/350/250/1121350250_1_1_3.jpg?t=1687512116455
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Basic V-neck T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/346/250/5003346250_1_1_3.jpg?t=1686918189306
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Racerback T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/1121/350/800/1121350800_1_1_3.jpg?t=1687512116455
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Oversize short sleeve T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/300/636/5003300636_1_1_3.jpg?t=1687934786403
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Pack of 2 basic round neck T-shirts,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/1001/316/250/1001316250_1_1_3.jpg?t=1687955351279
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Basic knit top,59,https://static.lefties.com/9/photos2/2023/I/0/1/p/5603/300/250/5603300250_1_1_3.jpg?t=1687934778413
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,T-shirt with ruffled sleeves,39,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/302/800/5003302800_1_1_3.jpg?t=1687934413458
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Basic V-neck T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5003/346/800/5003346800_1_1_3.jpg?t=1686918189306
https://www.lefties.com/ae/woman/clothing/t-shirts/basic-t-shirts-c1030267507.html,Short-sleeve sporty T-shirt,29,https://static.lefties.com/9/photos2/2023/I/0/1/p/5177/306/715/5177306715_1_1_3.jpg?t=1686401446100
